episode,reward,steps,exploration_reward,decision_count
59,-468.589325586694,321,2280,64
60,-629.953373015873,270,2263,59
61,-934.9116161616162,300,2250,66
62,-888.416908091908,222,2265,53
63,-700.7141025641025,206,2251,54
64,-653.8092352092352,288,2253,61
65,-622.6948211592329,231,2282,51
66,-591.7722277722279,356,2273,66
67,-934.4729247104248,388,2257,76
68,-620.9818181818182,232,2272,54
69,-696.325396825397,271,2288,74
70,-621.9313852813856,285,2250,61
71,-886.055735930736,162,2278,42
72,-616.1669788544788,323,2289,72
73,-616.4648082309848,297,2258,73
74,-804.6401626151625,252,2250,65
75,-642.6820530776413,175,2259,40
76,-903.3951696770664,223,2251,47
77,-801.2736263736264,161,2292,50
78,-558.2776094276095,271,2272,55
79,-836.0178571428572,250,2254,68
80,-454.49256576756574,273,2256,58
81,-783.9359695859696,429,2253,86
82,-729.792868242868,320,2274,64
83,-614.9396312751576,331,2250,79
84,-520.384126984127,263,2251,69
85,-599.6941646588705,195,2251,54
86,-751.2132726882728,365,2250,72
87,-638.9777555777555,184,2284,47
88,-496.35243661567193,253,2256,59
89,-619.2002650232138,255,2251,54
90,-619.1911255411256,216,2254,61
91,-898.6456887883359,251,2282,63
92,-667.4787240537241,268,2256,64
93,-706.809126984127,161,2259,46
94,-722.7676587301588,187,2256,60
95,-645.5018037518039,270,2261,60
96,-764.1473856209151,166,2276,49
97,-497.4948963317384,230,2252,55
98,-636.9384532134533,274,2261,70
99,-599.5475635475638,311,2257,53
100,-842.2595566198507,427,2255,73
101,-672.6509490509491,343,2259,67
102,-817.5488095238094,181,2254,53
103,-755.312215007215,250,2289,60
104,-641.777457346575,235,2273,56
105,-516.684645909646,214,2271,54
106,-741.2647977470557,273,2256,64
107,-784.0100793650794,263,2252,73
108,-739.9558164953326,274,2270,51
109,-887.1151126651126,174,2265,53
110,-699.7434688499906,214,2281,49
111,-558.0130623461506,266,2252,59
112,-568.7501676428146,338,2262,73
113,-717.0143198906356,201,2250,50
114,-742.4519841269843,182,2250,45
115,-948.7769230769231,394,2250,87
116,-813.0476190476192,176,2250,53
117,-882.588888888889,201,2261,60
118,-759.8560439560438,377,2295,69
119,-909.2594405594405,344,2250,72
120,-812.5997053872054,273,2251,54
121,-1013.9262138188609,203,2253,64
122,-673.1042729492731,222,2253,44
123,-840.0136724386723,211,2290,57
124,-763.1611471861473,242,2278,58
125,-661.6134936700727,189,2272,50
126,-720.9642857142858,132,2250,36
127,-480.4446248196247,209,2250,49
128,-532.3821789321789,317,2284,69
129,-857.1597619047619,262,2273,63
130,-775.5039571539572,207,2267,51
131,-554.9492424242426,313,2253,73
132,-781.0635854341735,356,2297,81
133,-737.5811893988367,159,2255,49
134,-609.5955988455988,241,2258,56
135,-741.5487012987012,224,2262,59
136,-621.8464951714951,278,2252,57
137,-762.5747668997667,285,2268,73
138,-694.3904486036839,185,2256,41
139,-785.5169663669664,197,2268,58
140,-604.505156850318,199,2250,52
141,-501.2529713707345,266,2252,55
142,-791.915542790543,351,2260,85
143,-775.970569562017,207,2253,59
144,-754.7345238095237,180,2258,38
145,-889.7356254856255,257,2263,77
146,-750.9217865467864,258,2250,62
147,-797.2460012210013,231,2277,70
148,-831.6484848484847,166,2253,52
149,-817.1230103230104,229,2259,64
150,-740.1955247968405,263,2289,59
151,-507.5236461251166,284,2252,68
152,-702.1599206349206,176,2254,44
153,-687.0304778554778,321,2254,63
154,-903.136014911015,267,2281,65
155,-615.7136752136752,231,2252,62
156,-837.7677527151212,175,2252,54
157,-414.4265066074276,318,2255,68
158,-647.3336834733894,216,2250,59
159,-907.685359231412,251,2290,62
160,-616.4204906204906,241,2286,57
161,-937.9365291571173,269,2250,59
162,-913.1230280830276,281,2293,80
163,-952.8248196248196,235,2251,61
164,-737.3204014939306,243,2266,64
165,-591.5293831168831,282,2251,71
166,-708.4416971916975,259,2250,69
167,-625.6619047619048,170,2252,53
168,-618.9343487394957,268,2250,66
169,-803.1468253968254,186,2267,53
170,-728.6246933621934,197,2251,58
171,-607.4879148629149,190,2254,42
172,-730.1069396977292,249,2251,65
173,-815.475450937951,210,2258,60
174,-754.5866883116881,252,2253,56
175,-592.4196561892213,316,2285,71
176,-891.9446428571429,175,2276,49
177,-501.47999164578107,216,2257,48
