368,[-2 -2 -2],490
369,[-4 -4 -4],324
370,[-1 -1 -1],308
371,[-7 -7 -7],392
372,[-2 -2 -2],299
373,[-2 -2 -2],385
374,[-10 -10 -10],662
375,[-3 -3 -3],440
376,[-1 -1 -1],410
377,[-6 -6 -6],604
378,[-3 -3 -3],292
379,[-7 -7 -7],513
380,[-4 -4 -4],595
381,[-12 -12 -12],434
382,[-1 -1 -1],624
383,[-11 -11 -11],345
384,[-1 -1 -1],301
385,[-2 -2 -2],572
386,[-2 -2 -2],420
387,[-1 -1 -1],636
388,[-3 -3 -3],608
389,[-1 -1 -1],406
390,[-2 -2 -2],466
391,[-9 -9 -9],294
392,[-1 -1 -1],698
393,[-10 -10 -10],265
394,[-1 -1 -1],643
395,[-1 -1 -1],305
396,[-9 -9 -9],511
397,[-5 -5 -5],541
398,[-11 -11 -11],353
399,[-3 -3 -3],587
400,[-28 -28 -28],479
401,[-49 -49 -49],472
402,[-2 -2 -2],408
403,[-3 -3 -3],404
404,[-4 -4 -4],383
405,[-13 -13 -13],402
406,[-2 -2 -2],282
407,[-5 -5 -5],442
408,[-1 -1 -1],675
409,[-10 -10 -10],550
410,[-4 -4 -4],396
411,[-6 -6 -6],407
412,[-29 -29 -29],394
413,[-34 -34 -34],362
414,[-1 -1 -1],435
415,[-11 -11 -11],524
416,[-13 -13 -13],361
417,[-1 -1 -1],435
418,[-1 -1 -1],470
419,[-8 -8 -8],506
420,[-3 -3 -3],330
421,[-3 -3 -3],489
422,[-5 -5 -5],398
423,[-4 -4 -4],291
424,[-19 -19 -19],277
425,[-7 -7 -7],335
426,[-8 -8 -8],347
427,[-15 -15 -15],435
428,[-1 -1 -1],418
429,[-2 -2 -2],572
430,[-2 -2 -2],246
431,[-4 -4 -4],317
432,[-1 -1 -1],420
433,[-2 -2 -2],703
434,[-2 -2 -2],538
435,[-1 -1 -1],347
436,[-6 -6 -6],386
437,[-18 -18 -18],444
438,[-8 -8 -8],339
439,[-3 -3 -3],258
440,[-11 -11 -11],246
441,[-7 -7 -7],454
442,[-3 -3 -3],621
443,[-5 -5 -5],338
444,[-1 -1 -1],515
445,[-2 -2 -2],539
446,[-14 -14 -14],536
447,[-1 -1 -1],512
448,[-51 -51 -51],478
449,[-3 -3 -3],330
450,[-1 -1 -1],387
451,[-1 -1 -1],487
452,[-5 -5 -5],647
453,[-10 -10 -10],409
454,[-1 -1 -1],437
455,[-8 -8 -8],404
456,[-2 -2 -2],346
457,[-3 -3 -3],539
458,[-1 -1 -1],309
459,[-1 -1 -1],333
460,[-1 -1 -1],216
461,[-18 -18 -18],416
462,[-3 -3 -3],412
463,[-1 -1 -1],249
464,[-14 -14 -14],389
465,[-2 -2 -2],309
466,[-10 -10 -10],405
467,[-2 -2 -2],333
468,[-4 -4 -4],548
469,[-1 -1 -1],337
470,[-1 -1 -1],299
471,[-3 -3 -3],330
472,[-8 -8 -8],408
473,[-6 -6 -6],525
474,[-4 -4 -4],433
475,[-1 -1 -1],517
476,[-5 -5 -5],297
477,[-2 -2 -2],502
478,[-2 -2 -2],556
479,[-1 -1 -1],581
480,[-2 -2 -2],518
481,[-8 -8 -8],244
482,[-5 -5 -5],627
483,[-1 -1 -1],445
484,[-2 -2 -2],367
485,[-2 -2 -2],299
486,[-8 -8 -8],402
487,[-1 -1 -1],406
488,[-1 -1 -1],461
489,[-4 -4 -4],437
490,[-10 -10 -10],303
491,[-2 -2 -2],441
492,[-1 -1 -1],330
493,[-1 -1 -1],639
494,[-5 -5 -5],511
495,[-1 -1 -1],455
496,[-3 -3 -3],473
497,[-1 -1 -1],299
498,[-6 -6 -6],316
499,[-2 -2 -2],409
500,[-4 -4 -4],541
